Index,Research areas,Bio,Research interests,Achievements and awards,Full name
aleksandar-mijatovic,Numerical analysis; Stochastic optimisation; Simulation; Probability; Geometry & topology; ,Alex Mijatovic is the Strategic Leader for the Mathematical Foundations theme of the Turing's programme in data-centric engineering and a Turing Fellow. Alex is a Professor in the Statistics Department of the University of Warwick.; He has broad research interests ranging from probability to topology; and including numerical stochastics; optimisation; and simulation. He is a pure mathematician with a background in industry and a long-standing focus on applications: in financial markets; energy systems; and engineering.; ,He has broad research interests ranging from probability to topology; and including numerical stochastics; optimisation; and simulation. He is a pure mathematician with a background in industry and a long-standing focus on applications: in financial markets; energy systems; and engineering.; ,['N/A'],Professor Aleksandar Mijatović 
ales-leonardis,Computer vision; Cognitive science; ,Ales Leonardis is Chair of Robotics at the School of Computer Science; University of Birmingham and Co-Director of the Computational Neuroscience and Cognitive Robotics Centre at the University of Birmingham. He is also Professor of Computer and Information Science at the University of Ljubljana and an Adjunct Professor at the Faculty of Computer Science; Graz University of Technology. He was a visiting researcher at the GRASP Laboratory at the University of Pennsylvania; post-doctoral fellow at PRIP Laboratory; Vienna University of Technology; and visiting professor at ETH Zurich and University of Erlangen.; He has extensive experience in participating and managing multi-site international projects including eight European Commission (FP5; FP6; FP7 and H2020) projects; one DARPA project (Neovision2) and one ONR MURI project. He is actively involved in applied robotics and computer vision projects with nuclear (National Nuclear Laboratory) and industrial robotics industry (KUKA Robotics UK).; He was a Program Co-chair of the European Conference on Computer Vision 2006 and he has been an Associate Editor of the IEEE PAMI and IEEE Robotics and Automation Letters; an editorial board member of Pattern Recognition and Image and Vision Computing; and an editor of the Springer book series Computational Imaging and Vision. In 2002; he coauthored a paper; Multiple Eigenspaces; which won the 29th Annual Pattern Recognition Society award. He is a fellow of the IAPR and in 2004 he was awarded one of the two most prestigious national (SI) awards for his research achievements.; His research interests include robust and adaptive methods for computer/cognitive vision; object and scene recognition and categorisation; statistical visual learning; object tracking; and biologically motivated vision - all in a broader context of artificial cognitive systems and robotics.; ,His research interests include robust and adaptive methods for computer/cognitive vision; object and scene recognition and categorisation; statistical visual learning; object tracking; and biologically motivated vision - all in a broader context of artificial cognitive systems and robotics.; ,['N/A'],Professor Ales Leonardis 
alessandro-abate,['N/A'],Alessandro Abate is Professor of Verification and Control in the Department of Computer Science at the University of Oxford. Previously he has done research at SRI International and at Stanford University; and has been an Assistant Professor at the Delft Center for Systems and Control; TU Delft. He has received a Laurea degree from the University of Padova and a MS/PhD at UC Berkeley. ; For more details; please see his departmental page or his research group page.; Alessandro's research interests lie in the analysis; verification; and optimal control of heterogeneous and complex dynamical models -- in particular of stochastic hybrid systems -- and in their applications in cyber-physical systems (particularly involving energy networks) and in the life sciences (systems biology). He is interested in a principled integration of model-based mathematical techniques with data-driven learning algorithms.; ,Alessandro's research interests lie in the analysis; verification; and optimal control of heterogeneous and complex dynamical models -- in particular of stochastic hybrid systems -- and in their applications in cyber-physical systems (particularly involving energy networks) and in the life sciences (systems biology). He is interested in a principled integration of model-based mathematical techniques with data-driven learning algorithms.; ,['N/A'],Professor Alessandro Abate 
alessandro-vatri,['N/A'],Alessandro is working on a seed funded project which focuses on the computational models of meaning change in natural language texts. The project focuses on Bayesian models for change-point detection in multiple languages; stimulating collaborations with British Library and National Grid. Alessandro joins us from Oxford where he has been Postdoctoral Research Assistant in Comparative Philology and Non-Stipendiary Junior Research Fellow of Wolfson College since 2014.; ,['N/A'],['N/A'], Alessandro Vatri 
alex-bespalov,Dynamical systems & differential equations; Numerical analysis; Deep learning; Calculus & analysis; ,Dr Alex Bespalov is a Senior Lecturer in Applied Mathematics at the University of Birmingham. Alex obtained his PhD in Computational Mathematics from the Russian Academy of Sciences in 1999. Before joining the University of Birmingham; he held postdoctoral research positions at Universidad de Concepción (Chile); Brunel University; and the University of Manchester.; Alex specialises in numerical analysis and scientific computing. He is particularly interested in developing robust and accurate numerical algorithms for solving mathematical problems arising in uncertainty quantification and machine learning. His recent research is focused on the design; mathematical analysis; and efficient implementation of the state-of-the-art adaptive algorithms for numerical approximation of high-dimensional functions - solutions of partial differential equations with random input data.; ,Alex specialises in numerical analysis and scientific computing. He is particularly interested in developing robust and accurate numerical algorithms for solving mathematical problems arising in uncertainty quantification and machine learning. His recent research is focused on the design; mathematical analysis; and efficient implementation of the state-of-the-art adaptive algorithms for numerical approximation of high-dimensional functions - solutions of partial differential equations with random input data.; ,['N/A'],Dr Alex Bespalov 
alex-shestopaloff,['N/A'],Alex received his PhD in Statistics from the University of Toronto in 2016; with a thesis on Markov Chain Monte Carlo (MCMC) methods for Bayesian inference in complex stochastic models. Alex's research was supervised by Prof. Radford M. Neal.; Alex plans to continue his research in MCMC and related methods to further improve their efficiency and broaden their applicability. In particular; Alex is interested in looking at novel Sequential Monte Carlo methods for high-dimensional state space models as well as MCMC methods for sampling in discrete spaces.; ,Alex plans to continue his research in MCMC and related methods to further improve their efficiency and broaden their applicability. In particular; Alex is interested in looking at novel Sequential Monte Carlo methods for high-dimensional state space models as well as MCMC methods for sampling in discrete spaces.; ,['N/A'], Alex Shestopaloff 
alexander-harris,Data science of government & politics; ,Prior to joining the Turing; Alex held a joint appointment as a research analyst at a data science consultancy and at Tech Against Terrorism; a project working on behalf of the United Nations Counter-Terrorism Committee Executive Directorate (UN CTED) to support the global technology industry to tackle terrorist exploitation of their technologies.; Alex has a BA in History from King's College London and an MSc in International Relations from the London School of Economics and Political Science (LSE); awarded with distinction. During his time at the LSE; Alex interned at the Royal United Services Institute (RUSI) and the International Institute of Strategic Studies (IISS).; ,['N/A'],['N/A'], Alexander Harris 
alexandros-beskos,['N/A'],Dr Beskos obtained his BSc in Statistics at the Department of Statistics; Athens University in Economics and Business; in 2000. He received a PhD in Statistics from the Department of Mathematics and Statistics; Lancaster University; in 2005. He worked as a Post-Doctoral Researcher at the Mathematics Institute and the Department of Statistics from 2005 to 2008. Dr Beskos was appointed as a Lecturer in Statistics at the Department of Statistical Science; UCL in 2008; he was promoted to Senior Lecturer in 2013 and Reader in 2015.; His research interests span the areas of Computational Statistics; Bayesian Methods; Monte-Carlo Algorithms; Applied Mathematics; Inverse Problems; and Biostatistics. He has worked with a number of collaborators in projects involving applications in Finance; Econometrics; Physical Sciences; Genetics; Statistical Ecology and Energy.; Alexandros is a Turing Fellow through his supervision of Shouto Yonekura; a doctoral student at the Turing.; ,His research interests span the areas of Computational Statistics; Bayesian Methods; Monte-Carlo Algorithms; Applied Mathematics; Inverse Problems; and Biostatistics. He has worked with a number of collaborators in projects involving applications in Finance; Econometrics; Physical Sciences; Genetics; Statistical Ecology and Energy.; Alexandros is a Turing Fellow through his supervision of Shouto Yonekura; a doctoral student at the Turing.; ,['N/A'],Dr Alexandros Beskos 
alfredo-nazabal,['N/A'],Alfredo's work at the Turing is focused on the 'Artificial intelligence for data analytics' project. He completed his PhD at the Department of Signal Theory and Communications at the University Carlos III of Madrid. His work has focused on probabilistic machine learning and signal processing for time series data applied to human activity recognition. ; ,['N/A'],['N/A'], Alfredo Nazabal 
alison-heppenstall,Social networks; Probabilistic programming; Causality; Uncertainty quantification; Optimisation; Neural & evolutionary computing; Artificial intelligence; Neural networks; Pattern formation; Multi-agent systems; Graph theory; Dynamic/static (Mathematical modelling); Machine learning; Reinforcement learning; Pattern recognition; Deep learning; ,Alison Heppenstall is Professor of Geocomputation at the University of Leeds and an ESRC-Turing Fellow. She has a PhD in Artificial Intelligence; a focus of which was developing machine learning algorithms (e.g. neural networks) and AI approaches (agent-based models) that were applied to solving complex spatial problems. Most of her current research is focused on developing and adapting ML approaches to understanding social phenomena. She has particular interests in data analytics; developing approaches for detecting 'hidden' spatio-temporal patterns in 'big data'; quantifying uncertainty in simulations and building more robust individual-based models through probabilistic programming and reinforcement learning.; Professor Heppenstall is involved in several strands of work at the Turing. Her ESRC-Turing Fellowship is focused on (i) developing new ML tools for detecting hidden patterns and structures within cities and (ii) creating robust agent-based modelling simulations for Smart Cities; for example understanding the impact of new infrastructure or air pollution.  ; Professor Heppenstall is also involved in the two other Turing funded projects: The first project will develop methods that can be used to better understand uncertainty in individual-level models. In particular; it will explore and extend the state-of-the-art in two related areas: ensemble modelling and emulators for use in individual-level models. The second project will investigate linking together casual inference modelling with agent-based modelling. Can we improve our agent-based models through a better understanding of the relationships in large; dynamic data sets?; Professor Heppenstall holds an ESRC-Turing Fellowship.  ; ,Professor Heppenstall is involved in several strands of work at the Turing. Her ESRC-Turing Fellowship is focused on (i) developing new ML tools for detecting hidden patterns and structures within cities and (ii) creating robust agent-based modelling simulations for Smart Cities; for example understanding the impact of new infrastructure or air pollution.  ; Professor Heppenstall is also involved in the two other Turing funded projects: The first project will develop methods that can be used to better understand uncertainty in individual-level models. In particular; it will explore and extend the state-of-the-art in two related areas: ensemble modelling and emulators for use in individual-level models. The second project will investigate linking together casual inference modelling with agent-based modelling. Can we improve our agent-based models through a better understanding of the relationships in large; dynamic data sets?; ,Professor Heppenstall holds an ESRC-Turing Fellowship.  ; ,Professor Alison Heppenstall 
amy-wilson,Data science of government & politics; Uncertainty quantification; Causality; High dimensional inference; Monte Carlo methods; Simulation; Time series; ,Amy Wilson is a researcher in statistics in the School of Mathematics at the University of Edinburgh. She previously worked as a research associate in the quantification of uncertainty for large scale energy models at Durham University. She has an MMath from the University of Cambridge and a PhD from the University of Edinburgh in statistical modelling for the evaluation of forensic evidence.; Amy Wilson is an applied statistician interested in decision-making under uncertainty. She has worked mainly on applications in energy and forensic science. In energy; she is interested in statistical methodology for long term planning of the electricity system. This has included work on modelling extremes for assessing the risk of electricity shortfalls and modelling uncertainty in large scale computer models. In forensic science she is interested in statistical modelling for the interpretation of forensic data and has developed techniques for the analysis of drug traces on banknotes.; ,Amy Wilson is an applied statistician interested in decision-making under uncertainty. She has worked mainly on applications in energy and forensic science. In energy; she is interested in statistical methodology for long term planning of the electricity system. This has included work on modelling extremes for assessing the risk of electricity shortfalls and modelling uncertainty in large scale computer models. In forensic science she is interested in statistical modelling for the interpretation of forensic data and has developed techniques for the analysis of drug traces on banknotes.; ,['N/A'],Dr Amy Wilson 
